3536,Salt Lake City International Airport
3537,Childress Municipal Airport
3538,Keesler Air Force Base
3539,Lawson Army Air Field (Fort Benning)
3540,Kingsville Naval Air Station
3541,Marshall Army Air Field
3542,Harrisburg International Airport
3543,Lincoln Airport
3544,Capital City Airport
3546,Massena International Richards Field
3547,Hickory Regional Airport
3548,Albert Whitted Airport
3549,Page Field
3550,George Bush Intercontinental Houston Airport
3551,Millinocket Municipal Airport
3552,Joint Base Andrews
3553,Smith Reynolds Airport
3554,Southern California Logistics Airport
3555,Bob Sikes Airport
3556,Wheeler Sack Army Air Field
3557,St Clair County International Airport
3558,Meadows Field
3559,El Paso International Airport
3560,Valley International Airport
3561,Columbia Metropolitan Airport
3562,Davis Monthan Air Force Base
3563,Pensacola Naval Air Station/Forrest Sherman Field
3564,Pensacola Regional Airport
3565,Grand Forks Air Force Base
3566,William P Hobby Airport
3567,Buckley Air Force Base
3570,Pittsburgh International Airport
3572,Ellington Airport
3573,Whidbey Island Naval Air Station (Ault Field)
3574,Alice International Airport
3575,Moody Air Force Base
3576,Miami International Airport
3577,Seattle Tacoma International Airport
3578,Lovell Field
3579,Igor I Sikorsky Memorial Airport
3580,Jackson-Medgar Wiley Evers International Airport
3581,Scholes International At Galveston Airport
3582,Long Beach /Daugherty Field/ Airport
3584,Williamsport Regional Airport
3585,Indianapolis International Airport
3586,Whiteman Air Force Base
3587,Akron Fulton International Airport
3588,Greenwood–Leflore Airport
3589,Westchester County Airport
3590,Francis S Gabreski Airport
3591,Jonesboro Municipal Airport
3592,Tonopah Test Range Airport
3593,Palm Beach County Park Airport
3594,North Island Naval Air Station-Halsey Field
3595,Biggs Army Air Field (Fort Bliss)
3596,Yuma MCAS/Yuma International Airport
3597,Cavern City Air Terminal
3598,Duluth International Airport
3600,Bowman Field
3601,Sierra Vista Municipal Libby Army Air Field
3603,"Terre Haute Regional Airport, Hulman Field"
3604,Havre City County Airport
3605,Grant County International Airport
3606,Edward F Knapp State Airport
3607,San Nicolas Island Nolf Airport
3608,Richmond International Airport
3609,Shreveport Regional Airport
3611,Norfolk International Airport
3612,Southeast Texas Regional Airport
3613,Savannah Hilton Head International Airport
3614,Hill Air Force Base
3616,Scappoose Industrial Airpark
3617,St Petersburg Clearwater International Airport
3618,Menominee Regional Airport
3619,Conroe-North Houston Regional Airport
3621,San Antonio International Airport
3622,Greater Rochester International Airport
3623,Patrick Air Force Base
3624,Teterboro Airport
3625,Ellsworth Air Force Base
3626,Raleigh Durham International Airport
3627,James M Cox Dayton International Airport
3629,Mc Alester Regional Airport
3630,Niagara Falls International Airport
3631,Coulter Field
3632,Wright AAF (Fort Stewart)/Midcoast Regional Airport
3633,Newport News Williamsburg International Airport
3634,Esler Regional Airport
3635,Altus Air Force Base
3636,Tucson International Airport
3637,Minot Air Force Base
3638,Beale Air Force Base
3639,Greater Kankakee Airport
3640,Seymour Johnson Air Force Base
3641,Theodore Francis Green State Airport
3642,Salisbury Ocean City Wicomico Regional Airport
3643,Rancho Murieta Airport
3644,Bob Hope Airport
3645,Detroit Metropolitan Wayne County Airport
3646,Tampa International Airport
3647,Pembina Municipal Airport
3648,Polk Army Air Field
3650,Range Regional Airport
3651,Angelina County Airport
3652,Midland International Airport
3653,Austin Straubel International Airport
3654,Ardmore Municipal Airport
3655,Mc Guire Air Force Base
3656,Cherry Point MCAS /Cunningham Field/
3657,Emanuel County Airport
3658,Augusta Regional At Bush Field
3659,Sloulin Field International Airport
3660,Bill & Hillary Clinton National Airport/Adams Field
3661,Stewart International Airport
3662,Baudette International Airport
3663,Sacramento Executive Airport
3665,Waynesville-St. Robert Regional Forney field
3666,Dobbins Air Reserve Base
3667,Fairchild Air Force Base
3668,Roscommon County - Blodgett Memorial Airport
3669,Tyndall Air Force Base
3670,Dallas Fort Worth International Airport
3671,Melbourne International Airport
3672,McChord Air Force Base
3673,Austin Bergstrom International Airport
3674,Rickenbacker International Airport
3675,Sawyer International Airport
3676,McGhee Tyson Airport
3677,Hood Army Air Field
3678,St Louis Lambert International Airport
3679,Millville Municipal Airport
3680,Sheppard Air Force Base-Wichita Falls Municipal Airport
3681,Cincinnati Municipal Airport Lunken Field
3682,Hartsfield Jackson Atlanta International Airport
3683,Castle Airport
3684,Mc Clellan Airfield
3685,Gerald R. Ford International Airport
3686,Winkler County Airport
3687,Fresno Yosemite International Airport
3688,Vero Beach Regional Airport
3689,Imperial County Airport
3690,Nashville International Airport
3691,Laredo International Airport
3694,Altoona Blair County Airport
3695,Dyess Air Force Base
3696,South Arkansas Regional At Goodwin Field
3697,La Guardia Airport
3698,Tallahassee Regional Airport
3699,Dupage Airport
3700,Waco Regional Airport
3701,Augusta State Airport
3702,Hillsboro Municipal Airport
3703,Jacksonville Naval Air Station (Towers Field)
3704,McKellar-Sipes Regional Airport
3706,Godman Army Air Field
3707,New River MCAS /H/ /Mccutcheon Fld/ Airport
3708,San Angelo Regional Mathis Field
3709,Calexico International Airport
3710,Chico Municipal Airport
