236,Texarkana Regional Webb Field
304,Plattsburgh International Airport
202,Robert Gray  Army Air Field Airport
302,Bellingham International Airport
162,Mobile Regional Airport
225,Santa Fe Municipal Airport
374,Scott AFB/Midamerica Airport
20,Southwest Florida International Airport
60,John F Kennedy International Airport
356,Cheyenne Regional Jerry Olson Field
378,Stockton Metropolitan Airport
134,Charleston Air Force Base-International Airport
223,Reno Tahoe International Airport
115,Birmingham-Shuttlesworth International Airport
440,Modesto City Co-Harry Sham Field
178,Sacramento International Airport
185,City of Colorado Springs Municipal Airport
119,Buffalo Niagara International Airport
324,Cedar City Regional Airport
110,Bradley International Airport
213,Mc Allen Miller International Airport
208,Lubbock Preston Smith International Airport
1,Chicago O'Hare International Airport
105,Watertown International Airport
221,Palm Springs International Airport
104,Rick Husband Amarillo International Airport
435,Topeka Regional Airport - Forbes Field
152,Wilmington International Airport
127,Baton Rouge Metropolitan Airport
237,Tyler Pounds Regional Airport
130,Baltimore/Washington International Thurgood Marshall Airport
100,Alexandria International Airport
234,Tulsa International Airport
191,Long Island Mac Arthur Airport
51,Minneapolis-St Paul International/Wold-Chamberlain Airport
360,New Castle Airport
57,Louis Armstrong New Orleans International Airport
171,Portland International Jetport Airport
218,Will Rogers World Airport
69,Albany International Airport
230,John Wayne Airport-Orange County Airport
328,Casper-Natrona County International Airport
181,Destin-Ft Walton Beach Airport
19,Key West International Airport
93,Charlotte Douglas International Airport
32,McCarran International Airport
24,Orlando International Airport
145,Florence Regional Airport
309,Great Falls International Airport
381,Youngstown Warren Regional Airport
312,Pullman Moscow Regional Airport
303,Lewiston Nez Perce County Airport
238,Elmira Corning Regional Airport
248,Ithaca Tompkins Regional Airport
251,Monterey Peninsula Airport
265,Santa Barbara Municipal Airport
138,Daytona Beach International Airport
246,Tweed New Haven Airport
108,Asheville Regional Airport
46,Piedmont Triad International Airport
196,Joe Foss Field Airport
159,Manchester-Boston Regional Airport
443,Naples Municipal Airport
175,Louisville International Standiford Field
133,Charlottesville Albemarle Airport
52,Roanoke–Blacksburg Regional Airport
49,Blue Grass Airport
44,Evansville Regional Airport
97,Albuquerque International Sunport
306,Gallatin Field
74,Billings Logan International Airport
323,Bert Mooney Airport
261,Cherry Capital Airport
73,Hancock County-Bar Harbor Airport
82,Knox County Regional Airport
341,Jackson Hole Airport
372,Chicago Rockford International Airport
47,Greenville Spartanburg International Airport
116,Central Illinois Regional Airport at Bloomington-Normal
146,Gulfport Biloxi International Airport
39,Kalamazoo Battle Creek International Airport
260,Toledo Express Airport
45,Fort Wayne International Airport
3,Decatur Airport
41,The Eastern Iowa Airport
255,La Crosse Municipal Airport
189,Central Wisconsin Airport
220,General Wayne A. Downing Peoria International Airport
285,Appleton International Airport
258,Rochester International Airport
184,University of Illinois Willard Airport
214,Manhattan Regional Airport
425,Venango Regional Airport
200,Grand Junction Regional Airport
345,St George Municipal Airport
179,Sarasota Bradenton International Airport
215,Quad City International Airport
319,Bismarck Municipal Airport
222,Rapid City Regional Airport
423,Mc Clellan-Palomar Airport
242,Bishop International Airport
442,Redding Municipal Airport
240,Mahlon Sweet Field
337,Idaho Falls Regional Airport
249,Rogue Valley International Medford Airport
252,Roberts Field
384,Victoria Harbour Seaplane Base
132,Akron Canton Regional Airport
148,Huntsville International Carl T Jones Field
426,Mid Ohio Valley Regional Airport
158,Montgomery Regional (Dannelly Field) Airport
180,Tri-Cities Regional TN/VA Airport
441,Barkley Regional Airport
363,Page Municipal Airport
308,Glacier Park International Airport
50,MBS International Airport
113,Greater Binghamton/Edwin A Link field
368,Orlando Sanford International Airport
415,John Murtha Johnstown Cambria County Airport
313,Missoula International Airport
444,Grand Canyon National Park Airport
428,Eagle County Regional Airport
287,Columbus Metropolitan Airport
207,Lawton Fort Sill Regional Airport
241,Flagstaff Pulliam Airport
346,Joslin Field Magic Valley Regional Airport
68,Martha's Vineyard Airport
373,St Cloud Regional Airport
291,Golden Triangle Regional Airport
239,Erie International Tom Ridge Field
67,Barnstable Municipal Boardman Polando Field
422,Morgantown Municipal Walter L. Bill Hart Field
42,Yeager Airport
109,Wilkes Barre Scranton International Airport
320,Bemidji Regional Airport
194,Hector International Airport
334,Gillette Campbell County Airport
263,University Park Airport
11,Key Field
231,Abraham Lincoln Capital Airport
446,Cortez Municipal Airport
430,Yampa Valley Airport
359,Liberal Mid-America Regional Airport
327,Yellowstone Regional Airport
226,Springfield Branson National Airport
206,Joplin Regional Airport
92,Lehigh Valley International Airport
